ProductID	xLocation	yLocation	AccessN	AccessW	AccessS	AccessE
4663	14.6	4	1	0	0	0
4674	20	10	1	0	0	0
4677	10	8	1	0	0	0
4722	10.6	8	1	0	0	0
4725	16.6	12	1	0	0	0
4731	12.6	12	1	0	0	0
4739	6.2	12	1	0	0	0
4740	14.6	6	1	0	0	0
4753	16.4	6	1	0	0	0
4766	8	4	1	0	0	0
4778	6.2	10	1	0	0	0
4847	8.6	8	1	0	0	0
4851	10	8	1	0	0	0
4914	21.2	6	1	0	0	0
4918	4.4	0	1	0	0	0
4924	6.2	10	1	0	0	0
4934	18.6	14	1	0	0	0
4974	14.8	10	1	0	0	0
5028	16.2	10	1	0	0	0
5099	6.2	14	1	0	0	0
5225	14.4	12	1	0	0	0
5240	14	8	1	0	0	0
5243	6	8	1	0	0	0
5261	8	4	1	0	0	0
5268	6.64	10	1	0	0	0
5278	10.2	12	1	0	0	0
5307	10.2	16	1	0	0	0
5329	8.2	14	1	0	0	0
5333	6.4	6	1	0	0	0
5368	10	12	1	0	0	0
5386	8.4	10	1	0	0	0
5430	16	6	1	0	0	0
5434	11	8	1	0	0	0
5489	6.62	10	1	0	0	0
5497	10.6	12	1	0	0	0
5510	10.2	8	1	0	0	0
5535	6.6	6	1	0	0	0
5546	6	8	1	0	0	0
5585	10.2	14	1	0	0	0
5697	18.8	10	1	0	0	0
5735	8.2	8	1	0	0	0
5737	9	16	1	0	0	0
5741	8	4	1	0	0	0
5769	10	14	1	0	0	0
5777	6.6	8	1	0	0	0
5832	20.4	10	1	0	0	0
5840	16.6	6	1	0	0	0
5843	6	14	1	0	0	0
5989	6.8	8	1	0	0	0
6065	8.4	10	1	0	0	0
6122	10.4	10	1	0	0	0
6128	10.6	10	1	0	0	0
6217	10.2	8	1	0	0	0
6262	8.4	14	1	0	0	0
6297	6.6	8	1	0	0	0
6310	10.6	8	1	0	0	0
6342	14	6	1	0	0	0
6380	16.6	4	1	0	0	0
6396	10.8	6	1	0	0	0
6450	8.4	14	1	0	0	0
6456	2.2	16	1	0	0	0
6483	9.2	10	1	0	0	0
6510	6.4	10	1	0	0	0
6542	20.6	10	1	0	0	0
6545	8.6	10	1	0	0	0
6600	18.2	6	1	0	0	0
6623	10.4	14	1	0	0	0
6649	12.4	8	1	0	0	0
6686	14.2	8	1	0	0	0
6717	7.4	10	1	0	0	0
6723	16	6	1	0	0	0
6728	16.2	8	1	0	0	0
6738	20.8	4	1	0	0	0
6768	17	6	1	0	0	0
6774	12	4	1	0	0	0
6778	10	4	1	0	0	0
6795	8	4	1	0	0	0
6886	18.6	10	1	0	0	0
6891	20.4	14	1	0	0	0
6895	10.2	4	1	0	0	0
6923	16.2	2	1	0	0	0
6924	20.4	14	1	0	0	0
6949	10.4	10	1	0	0	0
6970	16.4	6	1	0	0	0
6992	10.2	14	1	0	0	0
7011	6.2	8	1	0	0	0
7080	8.4	14	1	0	0	0
7094	12.4	12	1	0	0	0
7095	12.2	0	1	0	0	0
7109	18	2	1	0	0	0
7110	10.8	10	1	0	0	0
7132	8	4	1	0	0	0
7177	8.4	8	1	0	0	0
7182	16.6	6	1	0	0	0
7198	16.4	6	1	0	0	0
7210	8	4	1	0	0	0
